CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
18.75,48,86.66329,3.39361572,40,92.13703
22.65625,48,86.608345,3.39146423,40,92.13703
13.671875,48,86.7059555,3.39528656,40,92.13703
28.90625,48,86.4887161,3.38677979,40,92.13703
17.96875,48,86.4328,3.38459015,40,92.13703
16.796875,48,86.46027,3.385666,40,92.13703
14.453125,49,86.4481,3.385189,40,92.13703
25,49,86.91258,3.40337753,40,92.13703
10.15625,48,86.88715,3.402382,40,92.13703
23.828125,48,86.9809647,3.40605545,40,92.13703
17.96875,48,86.9531,3.40496445,40,92.13703
18.75,49,87.02626,3.40782928,40,92.13703
15.625,50,87.12436,3.41167068,40,92.13703
36.328125,49,87.72835,3.43532181,40,92.13703
18.359375,48,87.69113,3.43386459,40,92.13703
14.453125,48,87.73808,3.43570328,40,92.13703
14.84375,48,87.69941,3.43418884,40,92.13703
27.34375,52,87.64125,3.43191147,40,92.13703
16.796875,48,87.66658,3.43290329,40,92.13703
16.40625,48,87.78563,3.43756485,40,92.13703
12.5,48,87.77647,3.43720627,40,92.13703
14.453125,48,87.86687,3.44074631,40,92.13703
10.9375,48,87.91178,3.442505,40,92.13703
30.078125,48,86.66446,3.3936615,40,92.13648
14.453125,48,86.6339645,3.3924675,40,92.13648
19.140625,47,86.65598,3.39332962,40,92.13648
13.671875,47,86.5141449,3.38777542,40,92.13648
24.609375,48,86.756424,3.39726257,40,92.13648
11.7435513,47,86.74103,3.39665985,40,92.13648
15.1923065,48,86.71901,3.39579773,40,92.13648
14.0625,48,86.69573,3.394886,40,92.13648
13.671875,47,86.85481,3.40111542,40,92.13648
13.671875,48,87.02753,3.40787888,40,92.13648
33.6991539,48,86.69329,3.39479065,40,92.13648
27.2055264,48,87.1909943,3.41428,40,92.13648
12.5,48,87.22772,3.415718,40,92.13648
16.796875,48,87.2879257,3.41807556,40,92.13648
23.046875,48,87.34238,3.420208,40,92.13648
30.078125,51,87.51695,3.427044,40,92.13648
36.71875,49,87.49007,3.425991,40,92.13648
38.671875,49,87.7408142,3.43581,40,92.13648
18.359375,50,87.79274,3.43784332,40,92.13648
18.75,48,87.9685745,3.44472885,40,92.13648
23.4375,50,88.09268,3.44958878,40,92.13648
18.75,49,87.98474,3.445362,40,92.13648
15.234375,48,87.96663,3.44465256,40,92.13648
20.703125,48,88.11479,3.45045471,40,92.13648
16.796875,48,88.20111,3.45383453,40,92.13648
16.40625,48,88.17987,3.453003,40,92.13648
25.78125,48,88.36214,3.46014023,40,92.13648
33.984375,48,88.2473755,3.45564651,40,92.13648
30.46875,48,87.25841,3.41691971,40,92.13648
12.890625,49,87.47165,3.42527,40,92.13648
43.359375,49,87.6137848,3.43083572,41,92.1361847
20.8643379,48,87.7332153,3.43551254,41,92.1361847
27.9146614,49,87.89844,3.44198227,41,92.1361847
32.421875,48,88.1245346,3.45083618,41,92.1361847
21.484375,49,88.22965,3.45495224,41,92.1361847
26.5625,48,88.38308,3.46096039,41,92.1361847
23.4375,49,88.70602,3.473606,41,92.1361847
23.4375,50,89.06266,3.48757172,41,92.1361847
28.7878819,51,89.1807251,3.49219513,41,92.1361847
33.06452,49,89.12393,3.48997116,41,92.1361847
34.375,49,89.3591,3.49917984,41,92.1361847
25.390625,49,88.6952057,3.47318268,41,92.1361847
17.578125,48,87.7116852,3.43466949,41,92.1361847
30.859375,49,88.10252,3.449974,41,92.1361847
