CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
3.52802277,40,48.9946632,1.91856384,30.2527599,92.11886
5.060095,40,48.9711838,1.9176445,30.3999936,92.11886
10.9375,40,49.1102,1.92308807,30.6261807,92.11886
5.078125,40,49.1250038,1.92366791,30.5852678,92.11886
2.34375,40,49.13767,1.92416382,30.4189599,92.11886
0.390625,40,49.1432228,1.92438126,30.2247644,92.11886
4.6875,40,49.1628036,1.925148,30.4693578,92.11886
3.515625,40,49.105423,1.92290115,30.4997688,92.11886
3.125,40,49.0764923,1.92176819,30.5107627,92.11886
1.5625,39,48.851265,1.91294861,30.2448442,92.11886
2.692306,40,48.8445435,1.91268539,30.3058421,92.11886
2.692306,39,48.8412323,1.91255569,30.3042577,92.11886
2.734375,39,48.8417168,1.91257477,30.3122137,92.11886
5.078125,40,48.825058,1.91192245,30.3786113,92.11886
3.90625,40,48.80996,1.91133118,30.3581388,92.11886
7.30769062,40,48.8466873,1.91276932,30.4153371,92.11886
3.84615064,39,48.8452263,1.9127121,30.3885886,92.11886
4.23076725,40,48.8412323,1.91255569,30.4054288,92.11886
5.46875,40,48.8348,1.91230392,30.4394827,92.11886
7.8125,40,48.48342,1.89854431,30.4693089,92.11886
8.203125,40,48.6205826,1.90391541,30.4729507,92.11886
10.9375,40,49.46879,1.93713,30.5466299,92.11886
18.75,40,49.9820747,1.95722961,30.6794973,92.11886
29.296875,43,50.9707565,1.995945,30.8576897,92.11899
16.40625,40,52.0233421,2.03716278,30.6345013,92.11899
13.28125,40,53.02293,2.07630539,30.5638398,92.11899
28.8461571,40,54.2690849,2.125103,30.8268204,92.11899
27.6923065,40,55.3138771,2.16601563,30.8000764,92.11899
44.2307663,44,56.7301178,2.22147369,31.1865383,92.11899
32.8125,41,57.06221,2.234478,30.9759571,92.11899
10.546875,42,57.10264,2.236061,30.5348344,92.11899
46.9230766,44,57.76848,2.26213455,31.2147331,92.11899
88.84615,44,60.0011673,2.3495636,31.8650312,92.11899
62.3076935,43,61.55194,2.41028976,31.4530453,92.11899
10.546875,41,61.6740036,2.41506958,30.5349643,92.11899
46.484375,43,61.5673332,2.41089249,31.2107186,92.11899
43.75,42,62.138195,2.43324661,31.1661295,92.11899
19.921875,43,62.29523,2.439396,31.2252725,92.11899
23.84615,41,62.2191467,2.43641663,30.6848754,92.11899
20.3846149,44,61.72096,2.41690826,30.7390925,92.11899
38.0769272,43,61.5492134,2.410183,30.7408708,92.11899
25.390625,41,61.8769226,2.42301559,30.7389903,92.11899
30.859375,45,53.59837,2.09883881,30.6799021,92.11899
8.076918,42,53.2897568,2.08675385,30.6919342,92.11899
5.859375,41,53.27563,2.08620071,30.6851244,92.11899
7.8125,41,53.2660828,2.08582687,30.7010923,92.11899
8.984375,41,52.91022,2.07189178,30.7583269,92.11899
8.59375,41,52.9500656,2.073452,30.7759183,92.11899
19.53125,41,52.9172363,2.07216644,30.8763817,92.11899
8.203125,41,52.99731,2.07530212,30.8887581,92.11899
10.15625,41,53.7103043,2.103222,31.1323043,92.11899
14.453125,44,53.7664146,2.10541916,30.8066964,92.11899
32.421875,41,54.1645546,2.12100983,30.6840208,92.11899
16.015625,43,54.556366,2.13635254,30.6785735,92.11933
11.328125,44,54.7155457,2.14258575,30.6422169,92.11933
17.1875,41,55.2651672,2.16410828,30.6932687,92.11933
13.28125,41,55.8324242,2.18632126,30.7109331,92.11933
8.203125,42,55.94309,2.19065475,30.7243574,92.11933
8.59375,43,56.6313362,2.21760559,31.0325071,92.11933
8.59375,41,56.6958275,2.220131,30.9608722,92.11933
18.75,41,56.47664,2.21154785,31.1822558,92.11933
20.7692318,43,56.4650459,2.211094,31.2892747,92.11933
30.46875,43,56.6872559,2.21979523,30.9688452,92.11933
16.40625,41,56.8080521,2.22452545,30.9542163,92.11933
18.359375,41,57.02714,2.23310471,30.7250817,92.11933
21.09375,44,57.46717,2.25033569,30.7146874,92.11933
34.765625,42,59.6412163,2.33546829,30.6768943,92.11933
22.65625,43,55.56307,2.17577362,30.6942476,92.11933
4.296875,41,55.3334579,2.16678238,30.7783313,92.11933
4.296875,41,55.1079369,2.15795135,30.8153887,92.11933
1.171875,41,55.08378,2.15700531,31.0043585,92.11933
5.46875,41,55.04676,2.15555573,30.9923519,92.11933
8.59375,42,55.0055542,2.153942,31.1338773,92.11933
3.90625,41,54.986557,2.15319824,31.1745161,92.11933
17.578125,43,54.7468147,2.14381027,31.1563094,92.11933
18.359375,44,55.16142,2.16004562,31.1892361,92.11933
50.390625,43,56.32282,2.20552444,31.0754027,92.11933
26.5625,42,56.5817528,2.215664,30.7365544,92.11933
